name	component	type	tracked_point	units
head_ACC_x	x	ACCEL	head	g
head_ACC_y	y	ACCEL	head	g
head_ACC_z	z	ACCEL	head	g
head_ANGVEL_x	x	GYRO	head	deg/s
head_ANGVEL_y	y	GYRO	head	deg/s
head_ANGVEL_z	z	GYRO	head	deg/s
head_MAGN_x	x	MAGN	head	Gauss
head_MAGN_y	y	MAGN	head	Gauss
head_MAGN_z	z	MAGN	head	Gauss
sternum_ACC_x	x	ACCEL	sternum	g
sternum_ACC_y	y	ACCEL	sternum	g
sternum_ACC_z	z	ACCEL	sternum	g
sternum_ANGVEL_x	x	GYRO	sternum	deg/s
sternum_ANGVEL_y	y	GYRO	sternum	deg/s
sternum_ANGVEL_z	z	GYRO	sternum	deg/s
sternum_MAGN_x	x	MAGN	sternum	Gauss
sternum_MAGN_y	y	MAGN	sternum	Gauss
sternum_MAGN_z	z	MAGN	sternum	Gauss
left_upper_arm_ACC_x	x	ACCEL	left_upper_arm	g
left_upper_arm_ACC_y	y	ACCEL	left_upper_arm	g
left_upper_arm_ACC_z	z	ACCEL	left_upper_arm	g
left_upper_arm_ANGVEL_x	x	GYRO	left_upper_arm	deg/s
left_upper_arm_ANGVEL_y	y	GYRO	left_upper_arm	deg/s
left_upper_arm_ANGVEL_z	z	GYRO	left_upper_arm	deg/s
left_upper_arm_MAGN_x	x	MAGN	left_upper_arm	Gauss
left_upper_arm_MAGN_y	y	MAGN	left_upper_arm	Gauss
left_upper_arm_MAGN_z	z	MAGN	left_upper_arm	Gauss
left_fore_arm_ACC_x	x	ACCEL	left_fore_arm	g
left_fore_arm_ACC_y	y	ACCEL	left_fore_arm	g
left_fore_arm_ACC_z	z	ACCEL	left_fore_arm	g
left_fore_arm_ANGVEL_x	x	GYRO	left_fore_arm	deg/s
left_fore_arm_ANGVEL_y	y	GYRO	left_fore_arm	deg/s
left_fore_arm_ANGVEL_z	z	GYRO	left_fore_arm	deg/s
left_fore_arm_MAGN_x	x	MAGN	left_fore_arm	Gauss
left_fore_arm_MAGN_y	y	MAGN	left_fore_arm	Gauss
left_fore_arm_MAGN_z	z	MAGN	left_fore_arm	Gauss
right_upper_arm_ACC_x	x	ACCEL	right_upper_arm	g
right_upper_arm_ACC_y	y	ACCEL	right_upper_arm	g
right_upper_arm_ACC_z	z	ACCEL	right_upper_arm	g
right_upper_arm_ANGVEL_x	x	GYRO	right_upper_arm	deg/s
right_upper_arm_ANGVEL_y	y	GYRO	right_upper_arm	deg/s
right_upper_arm_ANGVEL_z	z	GYRO	right_upper_arm	deg/s
right_upper_arm_MAGN_x	x	MAGN	right_upper_arm	Gauss
right_upper_arm_MAGN_y	y	MAGN	right_upper_arm	Gauss
right_upper_arm_MAGN_z	z	MAGN	right_upper_arm	Gauss
