name	component	type	tracked_point	units
right_fore_arm_ACC_x	x	ACCEL	right_fore_arm	g
right_fore_arm_ACC_y	y	ACCEL	right_fore_arm	g
right_fore_arm_ACC_z	z	ACCEL	right_fore_arm	g
right_fore_arm_ANGVEL_x	x	GYRO	right_fore_arm	deg/s
right_fore_arm_ANGVEL_y	y	GYRO	right_fore_arm	deg/s
right_fore_arm_ANGVEL_z	z	GYRO	right_fore_arm	deg/s
right_fore_arm_MAGN_x	x	MAGN	right_fore_arm	Gauss
right_fore_arm_MAGN_y	y	MAGN	right_fore_arm	Gauss
right_fore_arm_MAGN_z	z	MAGN	right_fore_arm	Gauss
pelvis_ACC_x	x	ACCEL	pelvis	g
pelvis_ACC_y	y	ACCEL	pelvis	g
pelvis_ACC_z	z	ACCEL	pelvis	g
pelvis_ANGVEL_x	x	GYRO	pelvis	deg/s
pelvis_ANGVEL_y	y	GYRO	pelvis	deg/s
pelvis_ANGVEL_z	z	GYRO	pelvis	deg/s
pelvis_MAGN_x	x	MAGN	pelvis	Gauss
pelvis_MAGN_y	y	MAGN	pelvis	Gauss
pelvis_MAGN_z	z	MAGN	pelvis	Gauss
left_thigh_ACC_x	x	ACCEL	left_thigh	g
left_thigh_ACC_y	y	ACCEL	left_thigh	g
left_thigh_ACC_z	z	ACCEL	left_thigh	g
left_thigh_ANGVEL_x	x	GYRO	left_thigh	deg/s
left_thigh_ANGVEL_y	y	GYRO	left_thigh	deg/s
left_thigh_ANGVEL_z	z	GYRO	left_thigh	deg/s
left_thigh_MAGN_x	x	MAGN	left_thigh	Gauss
left_thigh_MAGN_y	y	MAGN	left_thigh	Gauss
left_thigh_MAGN_z	z	MAGN	left_thigh	Gauss
left_shank_ACC_x	x	ACCEL	left_shank	g
left_shank_ACC_y	y	ACCEL	left_shank	g
left_shank_ACC_z	z	ACCEL	left_shank	g
left_shank_ANGVEL_x	x	GYRO	left_shank	deg/s
left_shank_ANGVEL_y	y	GYRO	left_shank	deg/s
left_shank_ANGVEL_z	z	GYRO	left_shank	deg/s
left_shank_MAGN_x	x	MAGN	left_shank	Gauss
left_shank_MAGN_y	y	MAGN	left_shank	Gauss
left_shank_MAGN_z	z	MAGN	left_shank	Gauss
left_foot_ACC_x	x	ACCEL	left_foot	g
left_foot_ACC_y	y	ACCEL	left_foot	g
left_foot_ACC_z	z	ACCEL	left_foot	g
left_foot_ANGVEL_x	x	GYRO	left_foot	deg/s
left_foot_ANGVEL_y	y	GYRO	left_foot	deg/s
left_foot_ANGVEL_z	z	GYRO	left_foot	deg/s
left_foot_MAGN_x	x	MAGN	left_foot	Gauss
left_foot_MAGN_y	y	MAGN	left_foot	Gauss
left_foot_MAGN_z	z	MAGN	left_foot	Gauss
right_thigh_ACC_x	x	ACCEL	right_thigh	g
right_thigh_ACC_y	y	ACCEL	right_thigh	g
right_thigh_ACC_z	z	ACCEL	right_thigh	g
right_thigh_ANGVEL_x	x	GYRO	right_thigh	deg/s
right_thigh_ANGVEL_y	y	GYRO	right_thigh	deg/s
right_thigh_ANGVEL_z	z	GYRO	right_thigh	deg/s
right_thigh_MAGN_x	x	MAGN	right_thigh	Gauss
right_thigh_MAGN_y	y	MAGN	right_thigh	Gauss
right_thigh_MAGN_z	z	MAGN	right_thigh	Gauss
right_shank_ACC_x	x	ACCEL	right_shank	g
right_shank_ACC_y	y	ACCEL	right_shank	g
right_shank_ACC_z	z	ACCEL	right_shank	g
right_shank_ANGVEL_x	x	GYRO	right_shank	deg/s
right_shank_ANGVEL_y	y	GYRO	right_shank	deg/s
right_shank_ANGVEL_z	z	GYRO	right_shank	deg/s
right_shank_MAGN_x	x	MAGN	right_shank	Gauss
right_shank_MAGN_y	y	MAGN	right_shank	Gauss
right_shank_MAGN_z	z	MAGN	right_shank	Gauss
right_foot_ACC_x	x	ACCEL	right_foot	g
right_foot_ACC_y	y	ACCEL	right_foot	g
right_foot_ACC_z	z	ACCEL	right_foot	g
right_foot_ANGVEL_x	x	GYRO	right_foot	deg/s
right_foot_ANGVEL_y	y	GYRO	right_foot	deg/s
right_foot_ANGVEL_z	z	GYRO	right_foot	deg/s
right_foot_MAGN_x	x	MAGN	right_foot	Gauss
right_foot_MAGN_y	y	MAGN	right_foot	Gauss
right_foot_MAGN_z	z	MAGN	right_foot	Gauss
left_ankle_ACC_x	x	ACCEL	left_ankle	g
left_ankle_ACC_y	y	ACCEL	left_ankle	g
left_ankle_ACC_z	z	ACCEL	left_ankle	g
left_ankle_ANGVEL_x	x	GYRO	left_ankle	deg/s
left_ankle_ANGVEL_y	y	GYRO	left_ankle	deg/s
left_ankle_ANGVEL_z	z	GYRO	left_ankle	deg/s
left_ankle_MAGN_x	x	MAGN	left_ankle	Gauss
left_ankle_MAGN_y	y	MAGN	left_ankle	Gauss
left_ankle_MAGN_z	z	MAGN	left_ankle	Gauss
right_ankle_ACC_x	x	ACCEL	right_ankle	g
right_ankle_ACC_y	y	ACCEL	right_ankle	g
right_ankle_ACC_z	z	ACCEL	right_ankle	g
right_ankle_ANGVEL_x	x	GYRO	right_ankle	deg/s
right_ankle_ANGVEL_y	y	GYRO	right_ankle	deg/s
right_ankle_ANGVEL_z	z	GYRO	right_ankle	deg/s
right_ankle_MAGN_x	x	MAGN	right_ankle	Gauss
right_ankle_MAGN_y	y	MAGN	right_ankle	Gauss
right_ankle_MAGN_z	z	MAGN	right_ankle	Gauss
