name	component	type	tracked_point	units	sampling_frequency
start_1_pos_x	x	POS	start_1	mm	200
start_1_pos_y	y	POS	start_1	mm	200
start_1_pos_z	z	POS	start_1	mm	200
start_1_pos_err	n/a	POS	start_1	mm	200
start_2_pos_x	x	POS	start_2	mm	200
start_2_pos_y	y	POS	start_2	mm	200
start_2_pos_z	z	POS	start_2	mm	200
start_2_pos_err	n/a	POS	start_2	mm	200
turn_pos_x	x	POS	turn	mm	200
turn_pos_y	y	POS	turn	mm	200
turn_pos_z	z	POS	turn	mm	200
turn_pos_err	n/a	POS	turn	mm	200
l_toe_pos_x	x	POS	l_toe	mm	200
l_toe_pos_y	y	POS	l_toe	mm	200
l_toe_pos_z	z	POS	l_toe	mm	200
l_toe_pos_err	n/a	POS	l_toe	mm	200
l_heel_pos_x	x	POS	l_heel	mm	200
l_heel_pos_y	y	POS	l_heel	mm	200
l_heel_pos_z	z	POS	l_heel	mm	200
l_heel_pos_err	n/a	POS	l_heel	mm	200
l_ank_pos_x	x	POS	l_ank	mm	200
l_ank_pos_y	y	POS	l_ank	mm	200
l_ank_pos_z	z	POS	l_ank	mm	200
l_ank_pos_err	n/a	POS	l_ank	mm	200
l_sk1_pos_x	x	POS	l_sk1	mm	200
l_sk1_pos_y	y	POS	l_sk1	mm	200
l_sk1_pos_z	z	POS	l_sk1	mm	200
l_sk1_pos_err	n/a	POS	l_sk1	mm	200
l_sk2_pos_x	x	POS	l_sk2	mm	200
l_sk2_pos_y	y	POS	l_sk2	mm	200
l_sk2_pos_z	z	POS	l_sk2	mm	200
l_sk2_pos_err	n/a	POS	l_sk2	mm	200
l_sk3_pos_x	x	POS	l_sk3	mm	200
l_sk3_pos_y	y	POS	l_sk3	mm	200
l_sk3_pos_z	z	POS	l_sk3	mm	200
l_sk3_pos_err	n/a	POS	l_sk3	mm	200
l_sk4_pos_x	x	POS	l_sk4	mm	200
l_sk4_pos_y	y	POS	l_sk4	mm	200
l_sk4_pos_z	z	POS	l_sk4	mm	200
l_sk4_pos_err	n/a	POS	l_sk4	mm	200
l_th1_pos_x	x	POS	l_th1	mm	200
l_th1_pos_y	y	POS	l_th1	mm	200
l_th1_pos_z	z	POS	l_th1	mm	200
l_th1_pos_err	n/a	POS	l_th1	mm	200
l_th2_pos_x	x	POS	l_th2	mm	200
l_th2_pos_y	y	POS	l_th2	mm	200
l_th2_pos_z	z	POS	l_th2	mm	200
l_th2_pos_err	n/a	POS	l_th2	mm	200
l_th3_pos_x	x	POS	l_th3	mm	200
l_th3_pos_y	y	POS	l_th3	mm	200
