name	component	type	tracked_point	units
r_sk3_POS_y	y	POS	r_sk3	mm
r_sk3_POS_z	z	POS	r_sk3	mm
r_sk3_POS_err	n/a	POS	r_sk3	mm
r_sk4_POS_x	x	POS	r_sk4	mm
r_sk4_POS_y	y	POS	r_sk4	mm
r_sk4_POS_z	z	POS	r_sk4	mm
r_sk4_POS_err	n/a	POS	r_sk4	mm
r_th1_POS_x	x	POS	r_th1	mm
r_th1_POS_y	y	POS	r_th1	mm
r_th1_POS_z	z	POS	r_th1	mm
r_th1_POS_err	n/a	POS	r_th1	mm
r_th2_POS_x	x	POS	r_th2	mm
r_th2_POS_y	y	POS	r_th2	mm
r_th2_POS_z	z	POS	r_th2	mm
r_th2_POS_err	n/a	POS	r_th2	mm
r_th3_POS_x	x	POS	r_th3	mm
r_th3_POS_y	y	POS	r_th3	mm
r_th3_POS_z	z	POS	r_th3	mm
r_th3_POS_err	n/a	POS	r_th3	mm
r_th4_POS_x	x	POS	r_th4	mm
r_th4_POS_y	y	POS	r_th4	mm
r_th4_POS_z	z	POS	r_th4	mm
r_th4_POS_err	n/a	POS	r_th4	mm
l_asis_POS_x	x	POS	l_asis	mm
l_asis_POS_y	y	POS	l_asis	mm
l_asis_POS_z	z	POS	l_asis	mm
l_asis_POS_err	n/a	POS	l_asis	mm
r_asis_POS_x	x	POS	r_asis	mm
r_asis_POS_y	y	POS	r_asis	mm
r_asis_POS_z	z	POS	r_asis	mm
r_asis_POS_err	n/a	POS	r_asis	mm
l_psis_POS_x	x	POS	l_psis	mm
l_psis_POS_y	y	POS	l_psis	mm
l_psis_POS_z	z	POS	l_psis	mm
l_psis_POS_err	n/a	POS	l_psis	mm
r_psis_POS_x	x	POS	r_psis	mm
r_psis_POS_y	y	POS	r_psis	mm
r_psis_POS_z	z	POS	r_psis	mm
r_psis_POS_err	n/a	POS	r_psis	mm
m_ster1_POS_x	x	POS	m_ster1	mm
m_ster1_POS_y	y	POS	m_ster1	mm
m_ster1_POS_z	z	POS	m_ster1	mm
m_ster1_POS_err	n/a	POS	m_ster1	mm
m_ster2_POS_x	x	POS	m_ster2	mm
m_ster2_POS_y	y	POS	m_ster2	mm
m_ster2_POS_z	z	POS	m_ster2	mm
m_ster2_POS_err	n/a	POS	m_ster2	mm
m_ster3_POS_x	x	POS	m_ster3	mm
m_ster3_POS_y	y	POS	m_ster3	mm
m_ster3_POS_z	z	POS	m_ster3	mm
m_ster3_POS_err	n/a	POS	m_ster3	mm
l_sho_POS_x	x	POS	l_sho	mm
l_sho_POS_y	y	POS	l_sho	mm
l_sho_POS_z	z	POS	l_sho	mm
l_sho_POS_err	n/a	POS	l_sho	mm
l_ua_POS_x	x	POS	l_ua	mm
l_ua_POS_y	y	POS	l_ua	mm
l_ua_POS_z	z	POS	l_ua	mm
l_ua_POS_err	n/a	POS	l_ua	mm
l_elbl_POS_x	x	POS	l_elbl	mm
l_elbl_POS_y	y	POS	l_elbl	mm
l_elbl_POS_z	z	POS	l_elbl	mm
l_elbl_POS_err	n/a	POS	l_elbl	mm
l_frm_POS_x	x	POS	l_frm	mm
l_frm_POS_y	y	POS	l_frm	mm
l_frm_POS_z	z	POS	l_frm	mm
l_frm_POS_err	n/a	POS	l_frm	mm
l_wrr_POS_x	x	POS	l_wrr	mm
l_wrr_POS_y	y	POS	l_wrr	mm
l_wrr_POS_z	z	POS	l_wrr	mm
l_wrr_POS_err	n/a	POS	l_wrr	mm
l_wru_POS_x	x	POS	l_wru	mm
l_wru_POS_y	y	POS	l_wru	mm
l_wru_POS_z	z	POS	l_wru	mm
l_wru_POS_err	n/a	POS	l_wru	mm
l_hand_POS_x	x	POS	l_hand	mm
l_hand_POS_y	y	POS	l_hand	mm
l_hand_POS_z	z	POS	l_hand	mm
l_hand_POS_err	n/a	POS	l_hand	mm
r_sho_POS_x	x	POS	r_sho	mm
r_sho_POS_y	y	POS	r_sho	mm
r_sho_POS_z	z	POS	r_sho	mm
r_sho_POS_err	n/a	POS	r_sho	mm
r_ua_POS_x	x	POS	r_ua	mm
r_ua_POS_y	y	POS	r_ua	mm
r_ua_POS_z	z	POS	r_ua	mm
r_ua_POS_err	n/a	POS	r_ua	mm
r_elbl_POS_x	x	POS	r_elbl	mm
r_elbl_POS_y	y	POS	r_elbl	mm
r_elbl_POS_z	z	POS	r_elbl	mm
r_elbl_POS_err	n/a	POS	r_elbl	mm
r_frm_POS_x	x	POS	r_frm	mm
r_frm_POS_y	y	POS	r_frm	mm
r_frm_POS_z	z	POS	r_frm	mm
r_frm_POS_err	n/a	POS	r_frm	mm
r_wrr_POS_x	x	POS	r_wrr	mm
r_wrr_POS_y	y	POS	r_wrr	mm
r_wrr_POS_z	z	POS	r_wrr	mm
r_wrr_POS_err	n/a	POS	r_wrr	mm
r_wru_POS_x	x	POS	r_wru	mm
r_wru_POS_y	y	POS	r_wru	mm
r_wru_POS_z	z	POS	r_wru	mm
r_wru_POS_err	n/a	POS	r_wru	mm
r_hand_POS_x	x	POS	r_hand	mm
r_hand_POS_y	y	POS	r_hand	mm
r_hand_POS_z	z	POS	r_hand	mm
r_hand_POS_err	n/a	POS	r_hand	mm
lf_hd_POS_x	x	POS	lf_hd	mm
lf_hd_POS_y	y	POS	lf_hd	mm
lf_hd_POS_z	z	POS	lf_hd	mm
lf_hd_POS_err	n/a	POS	lf_hd	mm
rf_hd_POS_x	x	POS	rf_hd	mm
rf_hd_POS_y	y	POS	rf_hd	mm
rf_hd_POS_z	z	POS	rf_hd	mm
rf_hd_POS_err	n/a	POS	rf_hd	mm
lb_hd_POS_x	x	POS	lb_hd	mm
lb_hd_POS_y	y	POS	lb_hd	mm
lb_hd_POS_z	z	POS	lb_hd	mm
lb_hd_POS_err	n/a	POS	lb_hd	mm
rb_hd_POS_x	x	POS	rb_hd	mm
rb_hd_POS_y	y	POS	rb_hd	mm
rb_hd_POS_z	z	POS	rb_hd	mm
rb_hd_POS_err	n/a	POS	rb_hd	mm
