name	component	type	tracked_point	units
l_toe_POS_x	x	POS	l_toe	mm
l_toe_POS_y	y	POS	l_toe	mm
l_toe_POS_z	z	POS	l_toe	mm
l_toe_POS_err	n/a	POS	l_toe	mm
l_heel_POS_x	x	POS	l_heel	mm
l_heel_POS_y	y	POS	l_heel	mm
l_heel_POS_z	z	POS	l_heel	mm
l_heel_POS_err	n/a	POS	l_heel	mm
l_ank_POS_x	x	POS	l_ank	mm
l_ank_POS_y	y	POS	l_ank	mm
l_ank_POS_z	z	POS	l_ank	mm
l_ank_POS_err	n/a	POS	l_ank	mm
l_sk1_POS_x	x	POS	l_sk1	mm
l_sk1_POS_y	y	POS	l_sk1	mm
l_sk1_POS_z	z	POS	l_sk1	mm
l_sk1_POS_err	n/a	POS	l_sk1	mm
l_sk2_POS_x	x	POS	l_sk2	mm
l_sk2_POS_y	y	POS	l_sk2	mm
l_sk2_POS_z	z	POS	l_sk2	mm
l_sk2_POS_err	n/a	POS	l_sk2	mm
l_sk3_POS_x	x	POS	l_sk3	mm
l_sk3_POS_y	y	POS	l_sk3	mm
l_sk3_POS_z	z	POS	l_sk3	mm
l_sk3_POS_err	n/a	POS	l_sk3	mm
l_sk4_POS_x	x	POS	l_sk4	mm
l_sk4_POS_y	y	POS	l_sk4	mm
l_sk4_POS_z	z	POS	l_sk4	mm
l_sk4_POS_err	n/a	POS	l_sk4	mm
l_th1_POS_x	x	POS	l_th1	mm
l_th1_POS_y	y	POS	l_th1	mm
l_th1_POS_z	z	POS	l_th1	mm
l_th1_POS_err	n/a	POS	l_th1	mm
l_th2_POS_x	x	POS	l_th2	mm
l_th2_POS_y	y	POS	l_th2	mm
l_th2_POS_z	z	POS	l_th2	mm
l_th2_POS_err	n/a	POS	l_th2	mm
l_th3_POS_x	x	POS	l_th3	mm
l_th3_POS_y	y	POS	l_th3	mm
l_th3_POS_z	z	POS	l_th3	mm
l_th3_POS_err	n/a	POS	l_th3	mm
l_th4_POS_x	x	POS	l_th4	mm
l_th4_POS_y	y	POS	l_th4	mm
l_th4_POS_z	z	POS	l_th4	mm
l_th4_POS_err	n/a	POS	l_th4	mm
r_toe_POS_x	x	POS	r_toe	mm
r_toe_POS_y	y	POS	r_toe	mm
r_toe_POS_z	z	POS	r_toe	mm
r_toe_POS_err	n/a	POS	r_toe	mm
r_heel_POS_x	x	POS	r_heel	mm
r_heel_POS_y	y	POS	r_heel	mm
r_heel_POS_z	z	POS	r_heel	mm
r_heel_POS_err	n/a	POS	r_heel	mm
r_ank_POS_x	x	POS	r_ank	mm
r_ank_POS_y	y	POS	r_ank	mm
r_ank_POS_z	z	POS	r_ank	mm
r_ank_POS_err	n/a	POS	r_ank	mm
r_sk1_POS_x	x	POS	r_sk1	mm
r_sk1_POS_y	y	POS	r_sk1	mm
r_sk1_POS_z	z	POS	r_sk1	mm
r_sk1_POS_err	n/a	POS	r_sk1	mm
r_sk2_POS_x	x	POS	r_sk2	mm
r_sk2_POS_y	y	POS	r_sk2	mm
r_sk2_POS_z	z	POS	r_sk2	mm
r_sk2_POS_err	n/a	POS	r_sk2	mm
r_sk3_POS_x	x	POS	r_sk3	mm
